Places in infant nurseries;2018;2019;2020
Budapest;13 690;13 760;13 788
Pest;5 773;5 977;6 323
Fejér;1 587;1 772;1 838
Komárom-Esztergom;1 332;1 392;1 410
Veszprém;1 406;1 543;1 635
Győr-Moson-Sopron;2 122;2 264;2 267
Vas;973;1 033;1 020
Zala;1 090;1 161;1 199
Baranya;1 413;1 488;1 690
Somogy;921;960;1 017
Tolna;620;729;750
Borsod-Abaúj-Zemplén;2 367;2 472;2 559
Heves;1 195;1 029;1 082
Nógrád;298;308;379
Hajdú-Bihar ;2 367;2 435;2 464
Jász-Nagykun-Szolnok;1 568;1 626;1 702
Szabolcs-Szatmár-Bereg;2 191;2 278;2 443
Bács-Kiskun ;2 282;2 410;2 592
Békés;1 508;1 573;1 635
Csongrád-Csanád;2 466;2 492;2 415
Total;47 169;48 702;50 208
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
